Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Dangme. 2nd Grade,LO.EGRA.NCWPM.DAN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). English. 2nd Grade,LO.EGRA.NCWPM.ENG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). English. 3rd Grade,LO.EGRA.NCWPM.ENG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). English. 4th Grade,LO.EGRA.NCWPM.ENG.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). English. 6th Grade,LO.EGRA.NCWPM.ENG.6GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Ewe. 2nd Grade,LO.EGRA.NCWPM.EWE.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Fante. 2nd Grade,LO.EGRA.NCWPM.FAN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Filipino. 3rd Grade,LO.EGRA.NCWPM.FLP.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). French. 3rd Grade,LO.EGRA.NCWPM.FRN.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Fulfulde. 2nd Grade,LO.EGRA.NCWPM.FLF.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Ga. 2nd Grade,LO.EGRA.NCWPM.GA.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Gonja. 2nd Grade,LO.EGRA.NCWPM.GON.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Hararigna. 2nd Grade,LO.EGRA.NCWPM.HAR.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Hararigna. 3rd Grade,LO.EGRA.NCWPM.HAR.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Icibemba. 2nd Grade,LO.EGRA.NCWPM.ICI.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Indonesian. 2nd Grade,LO.EGRA.NCWPM.IND.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Kasem. 2nd Grade,LO.EGRA.NCWPM.KAS.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Kiikaonde. 2nd Grade,LO.EGRA.NCWPM.KII.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Kinyarwanda. 4th Grade,LO.EGRA.NCWPM.KNY.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Kinyarwanda. 6th Grade,LO.EGRA.NCWPM.KNY.6GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Kiswahili. 2nd Grade,LO.EGRA.NCWPM.KIS.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Lunda. 2nd Grade,LO.EGRA.NCWPM.LUN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Luvale. 2nd Grade,LO.EGRA.NCWPM.LUV.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Nzema. 2nd Grade,LO.EGRA.NCWPM.NZE.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Sidaamu Afoo. 2nd Grade,LO.EGRA.NCWPM.SID.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Sidaamu Afoo. 3rd Grade,LO.EGRA.NCWPM.SID.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Silozi. 2nd Grade,LO.EGRA.NCWPM.SIL.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Somaligna. 2nd Grade,LO.EGRA.NCWPM.SOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Somaligna. 3rd Grade,LO.EGRA.NCWPM.SOM.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Songhoi. 2nd Grade,LO.EGRA.NCWPM.SNG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 2nd Grade,LO.EGRA.NCWPM.SPN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 3rd Grade,LO.EGRA.NCWPM.SPN.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Spanish. 4th Grade,LO.EGRA.NCWPM.SPN.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Tigrinya. 2nd Grade,LO.EGRA.NCWPM.TIG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Correct Non-Words Read Per Minute (Mean). Tigrinya. 3rd Grade,LO.EGRA.NCWPM.TIG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Bamanankan. 2nd Grade,LO.EGRA.INIT.0.BMN.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Bomu. 2nd Grade,LO.EGRA.INIT.0.BOM.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Chichewa. 2nd Grade,LO.EGRA.INIT.0.CHC.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). Chichewa. 4th Grade,LO.EGRA.INIT.0.CHC.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 2nd Grade,LO.EGRA.INIT.0.ENG.2GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 3rd Grade,LO.EGRA.INIT.0.ENG.3GRD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,EGRA: Identification of the Initial Sound of a Spoken Word - Share of students with a zero score (%). English. 4th Grade,LO.EGRA.INIT.0.ENG.4GRD,..,..,..,..,..,..,..,..,..,..,..,..
